From Date,To Date,T,TM,Tm,SLP,H,PP,VV,V,VM
13-sept-2016-00:00,14-sept-2016-00:00,31.4,36,26.7,1006.7,65,0,3.1,8.3,13,
14-sept-2016-00:00,15-sept-2016-00:00,30.4,35.6,25.7,1006.5,72,-,2.9,4.3,14.8,
15-sept-2016-00:00,16-sept-2016-00:00,31.6,35,25.7,1005.3,63,0,2.6,3.7,-,
16-sept-2016-00:00,17-sept-2016-00:00,31.4,36,25,1003.7,62,0,3.2,3.7,13,
17-sept-2016-00:00,18-sept-2016-00:00,31.6,36.1,26,1003.9,64,0,2.4,2.6,7.6,
18-sept-2016-00:00,19-sept-2016-00:00,32,36,26,1004.6,62,0,2.7,2.8,9.4,
19-sept-2016-00:00,20-sept-2016-00:00,31.7,37.1,26,1003.2,63,0,2.9,1.7,5.4,
20-sept-2016-00:00,21-sept-2016-00:00,32.5,37.2,25.3,1003,59,0,3.1,1.7,7.6,
21-sept-2016-00:00,22-sept-2016-00:00,32.6,37.4,27,1005.8,63,0,2.6,6.3,13,
22-sept-2016-00:00,23-sept-2016-00:00,29.7,37.4,26,1007,71,0,2.7,7.6,18.3,
23-sept-2016-00:00,24-sept-2016-00:00,30.6,35,25,1004.1,68,0,2.9,3.1,7.6,
24-sept-2016-00:00,25-sept-2016-00:00,30.7,34.9,26.4,1003.5,70,0,2.7,4.8,9.4,
25-sept-2016-00:00,26-sept-2016-00:00,30.7,34.8,25.6,1004.5,66,0,2.6,3.3,11.1,
26-sept-2016-00:00,27-sept-2016-00:00,31.2,35,25.2,-,63,0,2.7,3,9.4,
27-sept-2016-00:00,28-sept-2016-00:00,31.4,35.2,26,1005.8,62,0,3.1,2,7.6,
28-sept-2016-00:00,29-sept-2016-00:00,31.7,36,25.2,1004.7,59,0,2.9,2.2,7.6,
29-sept-2016-00:00,30-sept-2016-00:00,31.9,36.5,26.6,1004.7,65,0,2.3,4.4,9.4,
30-sept-2016-00:00,31-sept-2016-00:00,31.8,35.4,26.5,1005.2,63,0,2.6,2,5.4,
1-oct-2016-00:00,2-oct-2016-00:00,31.9,36,26.5,1007.2,66,0,2.3,2.4,7.6,
2-oct-2016-00:00,3-oct-2016-00:00,32.4,36.4,27.5,1007.8,65,0,3.1,3.5,11.1,
3-oct-2016-00:00,4-oct-2016-00:00,32.7,36.1,27.7,-,64,0,2.6,3.3,7.6,
4-oct-2016-00:00,5-oct-2016-00:00,30.1,36.1,25.2,1005.4,73,-,1.8,5.6,18.3,
5-oct-2016-00:00,6-oct-2016-00:00,28.6,35.7,24.5,1004.8,74,-,2.3,3.1,11.1,
6-oct-2016-00:00,7-oct-2016-00:00,30.2,33.5,25.5,1006.5,69,0,1.9,3,9.4,
7-oct-2016-00:00,8-oct-2016-00:00,30.3,35,24.7,1007.3,62,0,2.3,7.6,18.3,
8-oct-2016-00:00,9-oct-2016-00:00,29.9,35,23,1006.3,60,0,2.6,6.7,24.1,
9-oct-2016-00:00,10-oct-2016-00:00,30,36,22.5,1004.9,63,0,2.6,3,7.6,
10-oct-2016-00:00,11-oct-2016-00:00,29.3,35.6,24.3,1005.7,55,0,2.9,4.4,9.4,
11-oct-2016-00:00,12-oct-2016-00:00,28.6,34,20.7,1006,54,0,2.4,7.4,16.5,
12-oct-2016-00:00,13-oct-2016-00:00,28.6,35,20.4,1006.4,50,0,3.1,10.6,22.2,
13-oct-2016-00:00,14-oct-2016-00:00,28.6,35,19.8,1008.2,49,0,3.7,11.5,22.2,
14-oct-2016-00:00,15-oct-2016-00:00,28.3,35.2,19,1009.4,53,0,3.4,9.1,35.9,
15-oct-2016-00:00,16-oct-2016-00:00,26.8,35.2,17.5,1010.4,57,0,2.6,5.7,13,
16-oct-2016-00:00,17-oct-2016-00:00,27.4,34,17.5,1010.9,52,0,3.1,5.9,18.3,
17-oct-2016-00:00,18-oct-2016-00:00,27.7,34.5,19,-,51,0,3.1,5.6,18.3,
18-oct-2016-00:00,19-oct-2016-00:00,27.2,34.2,18.2,1008.7,52,0,2.9,6.9,21.7,
19-oct-2016-00:00,20-oct-2016-00:00,27.6,35,17.6,1007.6,53,0,3.1,5.9,13,
20-oct-2016-00:00,21-oct-2016-00:00,27.7,35,18.6,1006.9,52,0,3.1,7.8,28.7,
21-oct-2016-00:00,22-oct-2016-00:00,27.3,35,19,1007.8,55,0,3.2,7.2,27.8,
22-oct-2016-00:00,23-oct-2016-00:00,28,35,19.6,1008.7,54,0,3.2,12.4,24.1,
23-oct-2016-00:00,24-oct-2016-00:00,26.3,34.7,19.2,1008.4,60,0,2.3,9.4,18.3,
24-oct-2016-00:00,25-oct-2016-00:00,27.6,35,18.9,1007.8,54,0,2.7,10.6,29.4,
25-oct-2016-00:00,26-oct-2016-00:00,27.2,34.5,19.5,1009,58,0,3.1,11.1,25.9,
26-oct-2016-00:00,27-oct-2016-00:00,26.4,33,18.4,1012.4,60,0,2.6,4.6,14.8,
27-oct-2016-00:00,28-oct-2016-00:00,25.4,33.4,16.5,1014.3,62,0,1.6,5,14.8,
28-oct-2016-00:00,29-oct-2016-00:00,24.6,32.3,16.1,1012.3,61,0,1.3,7,14.8,
29-oct-2016-00:00,30-oct-2016-00:00,24.4,32,15,1013.2,66,0,1.3,1.5,7.6,
30-oct-2016-00:00,31-oct-2016-00:00,24.2,32.5,15,1015.3,72,0,1.6,1.9,7.6,
31-oct-2016-00:00,32-oct-2016-00:00,23.7,31.7,15.5,1017.7,69,0,1,1.3,5.4,
1-nov-2016-00:00,2-nov-2016-00:00,23.4,31.1,14.2,1016,60,0,1.1,3,7.6,
2-nov-2016-00:00,3-nov-2016-00:00,22.6,30.6,15.8,1015.4,69,0,0.5,1.1,5.4,
3-nov-2016-00:00,4-nov-2016-00:00,23.9,32,14.5,1015.6,63,0,1,2,5.4,
4-nov-2016-00:00,5-nov-2016-00:00,23.4,32,14.5,1012,61,0,1,3.3,16.5,
5-nov-2016-00:00,6-nov-2016-00:00,22.3,31.4,15.4,1010.2,68,0,0.3,4.6,13,
6-nov-2016-00:00,7-nov-2016-00:00,21.8,30,13.5,1011.6,64,0,0.3,2,9.4,
7-nov-2016-00:00,8-nov-2016-00:00,23.2,30.2,14,1012.6,55,0,1.1,7.4,18.3,
8-nov-2016-00:00,9-nov-2016-00:00,22.5,29.5,15.6,1013.3,56,0,1.1,11.7,22.2,
9-nov-2016-00:00,10-nov-2016-00:00,21.7,30,12.2,1014.5,52,0,1.1,6.3,16.5,
10-nov-2016-00:00,11-nov-2016-00:00,22,30,11.5,1013.5,52,0,1.1,2.8,7.6,
11-nov-2016-00:00,12-nov-2016-00:00,-,-,-,-,-,-,-,-,-,
12-nov-2016-00:00,13-nov-2016-00:00,22.3,30.1,12.1,1015.5,60,0,1,2.4,11.1,
13-nov-2016-00:00,14-nov-2016-00:00,23.1,30.1,14.1,1016.1,58,0,1.3,4.3,13,
14-nov-2016-00:00,15-nov-2016-00:00,22.2,30.2,13.6,1015.6,63,0,1.6,1.5,3.5,
15-nov-2016-00:00,16-nov-2016-00:00,20.8,29.3,12.1,1016.7,58,0,1.8,3.5,9.4,
16-nov-2016-00:00,17-nov-2016-00:00,20.7,28.8,10.6,1017.8,56,0,1.8,6.1,16.5,
17-nov-2016-00:00,18-nov-2016-00:00,20.8,28,11.5,1016.3,54,0,1.8,10.7,24.1,
18-nov-2016-00:00,19-nov-2016-00:00,20.3,28,12.3,1014.5,57,0,1.9,7.6,18,
19-nov-2016-00:00,20-nov-2016-00:00,19.8,29,10.1,1012.7,60,0,2.1,2.8,9.4,
20-nov-2016-00:00,21-nov-2016-00:00,20.8,29,10.5,1013.9,61,0,1.8,2.6,7.6,
21-nov-2016-00:00,22-nov-2016-00:00,22,31,10.7,1013.2,56,0,1.8,2.4,14.8,
22-nov-2016-00:00,23-nov-2016-00:00,21.4,30.6,10.8,1011.9,54,0,2.6,7.8,18.3,
23-nov-2016-00:00,24-nov-2016-00:00,21.2,31.1,12,-,57,0,2.6,6.1,14.8,
24-nov-2016-00:00,25-nov-2016-00:00,20.7,28.9,10.5,1015,52,0,1.6,7.4,18.3,
25-nov-2016-00:00,26-nov-2016-00:00,23.4,30,14.6,1012.2,33,0,2.6,14.1,27.8,
26-nov-2016-00:00,27-nov-2016-00:00,24.2,31,16.5,1013,36,0,2.9,13.9,22.2,
27-nov-2016-00:00,28-nov-2016-00:00,22.7,30.8,13.6,1012,38,0,3.4,11.9,20.6,
28-nov-2016-00:00,29-nov-2016-00:00,21.4,29.6,12.7,1013.7,40,0,2.6,8,20.6,
29-nov-2016-00:00,30-nov-2016-00:00,18.9,29.2,9.7,1015.4,59,0,2.3,0.9,5.4,
30-nov-2016-00:00,31-nov-2016-00:00,19.4,28.5,11,1016.8,80,0,1,3.9,9.4,
1-dec-2016-00:00,2-dec-2016-00:00,19.2,25.9,11.9,1017,84,0,0.8,2.6,9.4,
2-dec-2016-00:00,3-dec-2016-00:00,18.9,25.8,11.5,1017.9,77,0,0.6,5,13,
3-dec-2016-00:00,4-dec-2016-00:00,19.3,27,11.7,1019.6,57,0,1.8,5.2,11.1,
4-dec-2016-00:00,5-dec-2016-00:00,18.4,27,8.4,1019.2,54,0,2.4,4.6,11.1,
5-dec-2016-00:00,6-dec-2016-00:00,18.4,26.6,8.8,1017.8,55,0,2.1,5,13,
6-dec-2016-00:00,7-dec-2016-00:00,17.7,26.2,9.4,1018.5,73,0,0.8,2,7.6,
7-dec-2016-00:00,8-dec-2016-00:00,17.8,24.8,11.2,1017,74,0,0.6,0.7,7.6,
8-dec-2016-00:00,9-dec-2016-00:00,15.8,24.3,8.7,1015.8,77,0,0.8,1.7,7.6,
9-dec-2016-00:00,10-dec-2016-00:00,18.2,27,7.7,1013.7,72,0,0.6,1.1,7.6,
10-dec-2016-00:00,11-dec-2016-00:00,16.2,26.6,11.2,1013.6,84,0,0.6,4.8,9.4,
11-dec-2016-00:00,12-dec-2016-00:00,19.3,26,12.4,1013.7,71,0,1.1,4.6,9.4,
12-dec-2016-00:00,13-dec-2016-00:00,19.3,27,11,1014,62,0,1.6,3.5,14.8,
13-dec-2016-00:00,14-dec-2016-00:00,19,27.1,10.5,1015.1,61,0,1.6,3.3,9.4,
14-dec-2016-00:00,15-dec-2016-00:00,18,26.6,10.5,1017.1,61,0,1.9,8,14.8,
15-dec-2016-00:00,16-dec-2016-00:00,17.2,24.2,10,1017.2,58,0,1.6,9.3,22.2,
16-dec-2016-00:00,17-dec-2016-00:00,15.5,24.3,7.9,1017.8,61,0,1.9,3.1,11.1,
17-dec-2016-00:00,18-dec-2016-00:00,16.4,24.4,8.2,1018.1,66,0,1.1,5.6,25.9,
18-dec-2016-00:00,19-dec-2016-00:00,15.6,23,7.2,1018.5,64,0,1,5.9,11.1,
19-dec-2016-00:00,20-dec-2016-00:00,16.3,23,6.6,1016.9,61,0,1,9.4,20.6,
20-dec-2016-00:00,21-dec-2016-00:00,18.1,24,11.2,1015.4,56,0,1.8,15.9,25.9,
21-dec-2016-00:00,22-dec-2016-00:00,17.8,25,10.7,1015.8,54,0,2.3,9.4,22.2,
22-dec-2016-00:00,23-dec-2016-00:00,16.3,25.3,7.5,1016.3,57,0,1.8,5.4,14.8,
23-dec-2016-00:00,24-dec-2016-00:00,16.3,25,7.8,1013.7,69,0,0.6,1.7,9.4,
24-dec-2016-00:00,25-dec-2016-00:00,16.9,25.2,8,1011,78,0,1,5.4,13,
25-dec-2016-00:00,26-dec-2016-00:00,13.9,24.5,11.4,1015,95,0,0.6,8.7,14.8,
26-dec-2016-00:00,27-dec-2016-00:00,16.3,23,9.8,1016.9,78,0,1.1,7.4,16.5,
27-dec-2016-00:00,28-dec-2016-00:00,16.3,23.4,9,1017.3,68,0,1.3,7.8,18.3,
28-dec-2016-00:00,29-dec-2016-00:00,16.5,25,7.5,1016.6,66,0,1.6,3,11.1,
29-dec-2016-00:00,30-dec-2016-00:00,15.2,25.1,7.8,1015.6,87,0,0.6,6.3,11.1,
30-dec-2016-00:00,31-dec-2016-00:00,14.2,21.6,10.5,-,90,0,0.6,6.9,14.8,
31-dec-2016-00:00,32-dec-2016-00:00,-,-,-,-,-,-,-,-,-,
1-jan-2017-00:00,2-jan-2017-00:00,15.6,23,9,1016.4,87,0,1.3,2.4,11.1,
2-jan-2017-00:00,3-jan-2017-00:00,17.4,24,9.3,1018.9,81,0,1.3,2.2,9.4,
3-jan-2017-00:00,4-jan-2017-00:00,16.7,24.3,9.5,1018,82,0,1,4.1,13,
4-jan-2017-00:00,5-jan-2017-00:00,18.1,25,8.9,1016.2,71,0,1.6,4.8,14.8,
5-jan-2017-00:00,6-jan-2017-00:00,17.9,25.2,10.4,1013.7,75,0,1.8,2,9.4,
6-jan-2017-00:00,7-jan-2017-00:00,18.9,25.4,11.5,1011.8,81,0,1.4,8.3,14.8,
7-jan-2017-00:00,8-jan-2017-00:00,14.7,24.4,13.5,1012.2,96,-,1,10,22.2,
8-jan-2017-00:00,9-jan-2017-00:00,15.4,20,10.2,1015.5,84,0,1.1,2.2,7.6,
9-jan-2017-00:00,10-jan-2017-00:00,14.1,20.2,8.6,1015.8,82,0,1.1,5,13,
10-jan-2017-00:00,11-jan-2017-00:00,10.8,19.3,4.7,1017.4,78,0,2.9,7.6,22.2,
11-jan-2017-00:00,12-jan-2017-00:00,10.9,17.8,4,1017,73,0,1.9,10.7,22.2,
12-jan-2017-00:00,13-jan-2017-00:00,11.6,18,3.4,1017.1,74,0,1.4,6.5,14.8,
13-jan-2017-00:00,14-jan-2017-00:00,12.1,19,4.3,1017.8,70,0,1.4,6.1,14.8,
14-jan-2017-00:00,15-jan-2017-00:00,12.6,19.5,3.2,1019.2,78,0,1.3,5.2,11.1,
15-jan-2017-00:00,16-jan-2017-00:00,16.4,24,8.6,1017.3,73,0,1.3,3.3,7.6,
16-jan-2017-00:00,17-jan-2017-00:00,14.1,24,8.6,1017.7,81,0,1.1,10.4,20.6,
17-jan-2017-00:00,18-jan-2017-00:00,11.2,19.1,6,1019.9,87,0,1.1,8,20.6,
18-jan-2017-00:00,19-jan-2017-00:00,12.4,19,4.2,1022.2,80,0,1.1,6.1,13,
19-jan-2017-00:00,20-jan-2017-00:00,14,21,6.4,1023.1,76,0,1.6,10.2,16.5,
20-jan-2017-00:00,21-jan-2017-00:00,14.7,21.3,6,-,68,0,1.8,10.2,18.3,
21-jan-2017-00:00,22-jan-2017-00:00,14.7,20.8,7,1021.4,72,0,1,6.1,14.8,
22-jan-2017-00:00,23-jan-2017-00:00,17.1,24,8.4,1021,81,0,1.3,5,11.1,
23-jan-2017-00:00,24-jan-2017-00:00,17.2,25,10,1019.1,80,0,1.4,5.4,14.8,
24-jan-2017-00:00,25-jan-2017-00:00,18.3,25.2,10,1018.2,68,0,1.1,2.8,9.4,
25-jan-2017-00:00,26-jan-2017-00:00,19.8,25.6,12.5,1018.2,74,-,1.1,7.8,24.1,
26-jan-2017-00:00,27-jan-2017-00:00,16.2,25.1,14.5,1017.1,92,-,0.8,8,22.2,
27-jan-2017-00:00,28-jan-2017-00:00,16.1,20,13.2,1019.1,80,-,1.8,11.9,18.3,
28-jan-2017-00:00,29-jan-2017-00:00,14.9,20.1,10.6,1018.8,82,0,1,10.2,16.5,
29-jan-2017-00:00,30-jan-2017-00:00,16,21,10.6,1017.2,80,0,1.3,10.2,18.3,
30-jan-2017-00:00,31-jan-2017-00:00,16.3,22.2,9.5,1015.9,76,0,1.6,4.6,14.8,
31-jan-2017-00:00,32-jan-2017-00:00,17.3,23.2,9.8,1016,71,0,1.4,4.6,16.5,
1-feb-2017-00:00,2-feb-2017-00:00,16.2,23.4,9.4,1017.9,75,0,1.3,8,16.5,
2-feb-2017-00:00,3-feb-2017-00:00,17,24,8.6,1019.2,66,0,1.6,2.8,7.6,
3-feb-2017-00:00,4-feb-2017-00:00,17.9,25,9.5,1017.3,68,0,1.6,3.3,11.1,
4-feb-2017-00:00,5-feb-2017-00:00,18.8,25.1,11.9,1013.7,79,0,1.3,8.9,16.5,
5-feb-2017-00:00,6-feb-2017-00:00,19.4,23.2,15.5,-,75,0,1.3,8.7,40.7,
6-feb-2017-00:00,7-feb-2017-00:00,17.4,23.5,11,1016.5,73,0,1.6,10.7,22.2,
7-feb-2017-00:00,8-feb-2017-00:00,16.1,23.5,8.6,1015.9,62,0,2.9,10.2,18.3,
8-feb-2017-00:00,9-feb-2017-00:00,16.8,24,9,1015.2,63,0,1.8,5.7,18.3,
9-feb-2017-00:00,10-feb-2017-00:00,16.7,24.2,9.4,1016.4,66,0,1.8,10.6,27.8,
10-feb-2017-00:00,11-feb-2017-00:00,16.1,22.5,9.6,1015.8,66,0,1.9,11.1,24.1,
11-feb-2017-00:00,12-feb-2017-00:00,16.9,24,8,1017.4,58,0,2.1,5.4,11.1,
12-feb-2017-00:00,13-feb-2017-00:00,17.8,25,8.4,1019.7,65,0,2.1,1.5,5.4,
13-feb-2017-00:00,14-feb-2017-00:00,18.2,25,8.9,1021.9,59,0,2.3,7.6,18.3,
14-feb-2017-00:00,15-feb-2017-00:00,18.6,29,10.2,1021.3,59,0,1.8,10.2,18.3,
15-feb-2017-00:00,16-feb-2017-00:00,19.7,27,9.8,1020.3,58,0,2.4,8.7,32.4,
16-feb-2017-00:00,17-feb-2017-00:00,19.9,27.4,13,1017,61,0,1.8,10.4,16.5,
17-feb-2017-00:00,18-feb-2017-00:00,21.3,27.6,15.4,1017.6,65,0,1.9,11.1,20.6,
18-feb-2017-00:00,19-feb-2017-00:00,22.1,30,14.4,1016.2,66,0,2.3,8.5,18.3,
19-feb-2017-00:00,20-feb-2017-00:00,24.1,31,15.6,1011.1,57,0,3.1,7.2,14.8,
20-feb-2017-00:00,21-feb-2017-00:00,24.8,32,16.4,1005,56,0,2.4,6.3,14.8,
21-feb-2017-00:00,22-feb-2017-00:00,20.9,32.4,15.7,1008.2,74,0,1.9,12,24.1,
22-feb-2017-00:00,23-feb-2017-00:00,20.6,27,12,1012.9,55,0,2.6,8.1,18.3,
23-feb-2017-00:00,24-feb-2017-00:00,19.8,27.5,11,1015.6,45,0,2.9,15.4,33.5,
24-feb-2017-00:00,25-feb-2017-00:00,20,25.5,12.4,1015.7,47,0,3.1,18.3,35.9,
25-feb-2017-00:00,26-feb-2017-00:00,21.4,28,13.5,1013.6,47,0,3.1,18.5,35.2,
26-feb-2017-00:00,27-feb-2017-00:00,20.4,28.1,12.4,1012.5,55,0,2.6,16.1,29.4,
27-feb-2017-00:00,28-feb-2017-00:00,21.2,29,11,1014.2,52,0,3.2,8,16.5,
28-feb-2017-00:00,29-feb-2017-00:00,24.2,32,12.5,1012.5,46,0,2.6,3,11.1,
1-mar-2017-00:00,2-mar-2017-00:00,24.7,32.5,18,1012.1,49,0,2.6,5,11.1,
2-mar-2017-00:00,3-mar-2017-00:00,22.8,30.5,16.5,1011.1,59,0,1.9,4.4,11.1,
3-mar-2017-00:00,4-mar-2017-00:00,21.3,28.5,12.5,1010.6,41,0,3.1,8.3,22.2,
4-mar-2017-00:00,5-mar-2017-00:00,20.2,28,11.1,1010.5,43,0,2.9,10.2,18.3,
5-mar-2017-00:00,6-mar-2017-00:00,21.7,28,11.6,-,38,0,2.7,11.7,24.1,
6-mar-2017-00:00,7-mar-2017-00:00,21.5,28,11.3,1009.9,40,0,2.9,12.8,22.2,
7-mar-2017-00:00,8-mar-2017-00:00,23.4,30,12,1008.3,41,0,2.6,5.9,14.8,
8-mar-2017-00:00,9-mar-2017-00:00,22.8,30.7,17.6,1008,54,-,2.9,12,22.2,
9-mar-2017-00:00,10-mar-2017-00:00,20.7,28.2,14.6,1007.6,67,-,2.6,8.1,18.3,
10-mar-2017-00:00,11-mar-2017-00:00,19.6,25,12.7,1007.8,71,-,2.9,10.4,22.2,
11-mar-2017-00:00,12-mar-2017-00:00,18.2,25.8,11.4,1011.1,64,0,3.1,5.7,11.1,
12-mar-2017-00:00,13-mar-2017-00:00,18.3,24,10.5,1015.1,56,0,3.5,9.1,22.2,
13-mar-2017-00:00,14-mar-2017-00:00,18.4,24,9,1015.3,49,0,3.2,9.1,20.6,
14-mar-2017-00:00,15-mar-2017-00:00,19.6,26,9.1,1016.4,50,0,2.7,6.5,22.2,
15-mar-2017-00:00,16-mar-2017-00:00,21.4,28,10.5,1013.7,50,0,2.4,8.5,22.2,
16-mar-2017-00:00,17-mar-2017-00:00,23.8,30.2,14,1011.7,49,0,2.3,4.4,14.8,
17-mar-2017-00:00,18-mar-2017-00:00,22.7,30.4,14.8,1010.2,55,0,2.7,13.7,24.1,
18-mar-2017-00:00,19-mar-2017-00:00,22.8,30,13.5,1010,53,0,2.4,7,14.8,
19-mar-2017-00:00,20-mar-2017-00:00,23.6,30,15.6,1011.7,57,0,2.6,7.6,18.3,
20-mar-2017-00:00,21-mar-2017-00:00,24.2,30,15.4,1012.2,53,0,2.7,11.3,24.1,
21-mar-2017-00:00,22-mar-2017-00:00,26.6,34,16.2,1011.6,47,0,2.9,10.9,22.2,
22-mar-2017-00:00,23-mar-2017-00:00,28.6,35,18.2,1009.6,45,0,2.9,11.9,24.1,
23-mar-2017-00:00,24-mar-2017-00:00,28.9,37,18.4,1009.1,49,0,2.7,4.4,11.1,
24-mar-2017-00:00,25-mar-2017-00:00,29,37.4,20.9,1010.5,41,0,2.4,10,16.5,
25-mar-2017-00:00,26-mar-2017-00:00,27.8,35,17.7,1010.4,41,0,3.4,12.8,27.8,
26-mar-2017-00:00,27-mar-2017-00:00,29.1,35,20.8,1009.8,38,0,3.2,16.1,35.2,
27-mar-2017-00:00,28-mar-2017-00:00,30.6,37,21.8,1009.5,41,0,3.1,13.1,27.8,
28-mar-2017-00:00,29-mar-2017-00:00,31.2,38,22.6,1008.4,40,0,2.9,7.8,22.2,
29-mar-2017-00:00,30-mar-2017-00:00,32.1,38,23.1,1007.2,36,0,3.2,16.5,25.9,
30-mar-2017-00:00,31-mar-2017-00:00,31.9,38.2,23.7,1006.8,37,0,3.2,13.9,25.9,
31-mar-2017-00:00,32-mar-2017-00:00,31.2,38.5,23.3,1007.5,41,0,2.9,8.3,18.3,
1-apr-2017-00:00,2-apr-2017-00:00,32.8,39,23.2,1004.7,36,0,3.2,11.1,22.2,
2-apr-2017-00:00,3-apr-2017-00:00,31.7,39.4,23,1004.2,34,0,3.5,10.7,25.9,
3-apr-2017-00:00,4-apr-2017-00:00,32.8,39,21.4,1004.9,30,0,3.7,10.7,22.2,
4-apr-2017-00:00,5-apr-2017-00:00,30.7,39,21.8,1005.6,35,-,2.9,14.6,35.2,
5-apr-2017-00:00,6-apr-2017-00:00,28.9,36.3,20.1,1003,52,-,3.2,12.2,25.9,
6-apr-2017-00:00,7-apr-2017-00:00,31.8,38,23.2,1004.1,30,0,3.2,12.8,25.9,
7-apr-2017-00:00,8-apr-2017-00:00,28.8,38,19.2,1008,32,0,1.9,5.9,18.3,
8-apr-2017-00:00,9-apr-2017-00:00,27.5,34.4,16.5,1010.8,28,0,2.7,10,20.6,
9-apr-2017-00:00,10-apr-2017-00:00,27.3,33.6,19,1010.8,29,0,3.9,13.3,25.9,
10-apr-2017-00:00,11-apr-2017-00:00,29.1,34,20,-,28,0,3.9,16.9,33.5,
11-apr-2017-00:00,12-apr-2017-00:00,30.5,38,20.7,1006.2,21,0,3.4,18.5,53.9,
12-apr-2017-00:00,13-apr-2017-00:00,30.6,39,20.5,1005.6,27,0,2.9,11.9,29.4,
13-apr-2017-00:00,14-apr-2017-00:00,31.6,40,19.9,1006.3,27,0,2.9,5.6,11.1,
14-apr-2017-00:00,15-apr-2017-00:00,32.4,40.5,20.7,1004.5,33,0,2.3,2.6,9.4,
15-apr-2017-00:00,16-apr-2017-00:00,33,40.6,22,1002.1,29,0,3.2,8.5,24.1,
16-apr-2017-00:00,17-apr-2017-00:00,32.8,40.5,21.4,1003.6,35,0,2.7,4.1,13,
17-apr-2017-00:00,18-apr-2017-00:00,33.6,41,25.5,1004.1,39,0,2.7,5.7,16.5,
18-apr-2017-00:00,19-apr-2017-00:00,34.9,42,24.9,1002.4,31,0,2.6,8,22.2,
19-apr-2017-00:00,20-apr-2017-00:00,-,-,-,-,-,-,-,-,-,
20-apr-2017-00:00,21-apr-2017-00:00,-,-,-,-,-,-,-,-,-,
21-apr-2017-00:00,22-apr-2017-00:00,34.9,43.2,28.9,999.7,45,0,2.7,9.1,21.7,
22-apr-2017-00:00,23-apr-2017-00:00,33.5,40.2,28.5,1001.9,49,0,2.3,8.5,22.2,
23-apr-2017-00:00,24-apr-2017-00:00,33.9,40,26.8,1001.9,31,0,3.2,11.1,22.2,
24-apr-2017-00:00,25-apr-2017-00:00,32.6,39.6,25.6,1004,35,0,3.4,12.6,28.7,
25-apr-2017-00:00,26-apr-2017-00:00,32.5,38,23.8,1003.8,33,-,3.2,10.9,25.9,
26-apr-2017-00:00,27-apr-2017-00:00,32.1,38.3,23,1005.1,35,0,3.2,8.3,27.8,
27-apr-2017-00:00,28-apr-2017-00:00,32.6,38.2,22.5,1006.3,33,0,2.7,11.9,51.9,
28-apr-2017-00:00,29-apr-2017-00:00,32.2,38.5,24,1004.8,37,0,2.9,13.3,39.6,
29-apr-2017-00:00,30-apr-2017-00:00,32.1,39,24,1005.4,40,0,3.1,5.9,20.6,
30-apr-2017-00:00,31-apr-2017-00:00,31.9,39.2,24.3,1006,41,-,3.2,10.6,18.3,
1-may-2017-00:00,2-may-2017-00:00,32.2,38.1,23.1,1007.2,35,0,3.7,5.7,13,
2-may-2017-00:00,3-may-2017-00:00,32.3,39.6,22,1006.8,37,0,3.2,4.4,13,
3-may-2017-00:00,4-may-2017-00:00,32.6,40,24.4,1006.6,35,-,2.3,7.4,18.3,
4-may-2017-00:00,5-may-2017-00:00,32.9,40.1,23.2,1006.8,33,0,3.4,11.1,25.9,
5-may-2017-00:00,6-may-2017-00:00,33.8,40,23.5,1005.3,29,0,2.6,10.2,22.2,
6-may-2017-00:00,7-may-2017-00:00,35.3,42,24,1005.7,32,0,3.4,4.3,11.1,
7-may-2017-00:00,8-may-2017-00:00,36.6,44,25.3,1003.7,27,0,3.4,8,18.3,
8-may-2017-00:00,9-may-2017-00:00,36.6,44.1,27.6,1002.7,30,0,2.6,3.5,9.4,
9-may-2017-00:00,10-may-2017-00:00,35.6,42.8,28,1001.5,36,0,3.2,10.7,20.6,
10-may-2017-00:00,11-may-2017-00:00,33.9,42.8,27.7,1005.3,46,-,3.4,11.5,20.6,
11-may-2017-00:00,12-may-2017-00:00,35,41,26.6,1006,42,0,3.4,4.4,13,
12-may-2017-00:00,13-may-2017-00:00,35.8,42,28.4,1004.8,39,0,2.1,4.1,11.1,
13-may-2017-00:00,14-may-2017-00:00,36,41.8,27.5,1002,35,0,2.7,6.7,18.3,
14-may-2017-00:00,15-may-2017-00:00,37.2,43,27.8,999.8,28,0,3.1,6.7,14.8,
15-may-2017-00:00,16-may-2017-00:00,37.9,44,28.1,998.3,24,0,3.2,10.2,22.2,
16-may-2017-00:00,17-may-2017-00:00,36.3,44.4,29,999.3,31,0,2.6,11.3,16.5,
17-may-2017-00:00,18-may-2017-00:00,32.7,41.4,28.4,1001.1,42,-,3.1,6.7,21.7,
18-may-2017-00:00,19-may-2017-00:00,34.7,40,27.1,1001.7,39,0,3.2,7.6,22.2,
19-may-2017-00:00,20-may-2017-00:00,32.3,40.2,27.4,1001.4,45,-,3.2,6.5,18.3,
20-may-2017-00:00,21-may-2017-00:00,34,41.4,28.4,1000,38,0,3.4,5.4,22.2,
21-may-2017-00:00,22-may-2017-00:00,31.2,39,24,1001.5,45,-,2.1,9.8,22.2,
22-may-2017-00:00,23-may-2017-00:00,27.1,39.6,21.8,1003.7,64,-,2.7,6.3,14.8,
