From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
12-Jul-2016 - 00:00,13-Jul-2016 - 00:00,85.29,51.44,2.37,53.24,25.75,12.25,10.22,104,2
13-Jul-2016 - 00:00,14-Jul-2016 - 00:00,139.86,86.38,2.25,56.26,22.43,28.44,8.63,186,2
14-Jul-2016 - 00:00,15-Jul-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
15-Jul-2016 - 00:00,16-Jul-2016 - 00:00,381.35,37.21,2.28,57.98,65.09,13.84,8.73,338,4
16-Jul-2016 - 00:00,17-Jul-2016 - 00:00,56.71,36.28,2.22,52.94,43.68,14.45,8.73,102,2
17-Jul-2016 - 00:00,18-Jul-2016 - 00:00,60.98,42.56,2.0,54.39,38.75,13.11,9.59,100,1
18-Jul-2016 - 00:00,19-Jul-2016 - 00:00,159.76,41.54,3.23,48.29,38.91,14.65,9.23,139,2
19-Jul-2016 - 00:00,20-Jul-2016 - 00:00,435.07,61.15,1.46,53.26,42.23,21.57,8.84,500,4
20-Jul-2016 - 00:00,21-Jul-2016 - 00:00,604.98,78.49,2.45,68.68,65.14,20.78,10.72,500,4
21-Jul-2016 - 00:00,22-Jul-2016 - 00:00,635.33,90.74,1.34,57.16,61.79,22.92,9.35,500,4
22-Jul-2016 - 00:00,23-Jul-2016 - 00:00,276.67,64.91,1.27,61.68,51.73,31.37,8.45,226,3
23-Jul-2016 - 00:00,24-Jul-2016 - 00:00,105.41,40.1,1.4,55.44,28.79,17.9,8.99,103,2
24-Jul-2016 - 00:00,25-Jul-2016 - 00:00,213.58,68.78,1.99,57.23,74.51,32.58,9.15,175,2
25-Jul-2016 - 00:00,26-Jul-2016 - 00:00,287.49,97.6,1.64,76.73,73.73,28.43,7.29,237,3
26-Jul-2016 - 00:00,27-Jul-2016 - 00:00,134.53,63.1,1.16,71.46,46.12,27.8,8.31,122,2
27-Jul-2016 - 00:00,28-Jul-2016 - 00:00,66.23,42.78,1.45,46.26,38.08,26.24,14.44,70,1
28-Jul-2016 - 00:00,29-Jul-2016 - 00:00,95.27,53.01,1.44,44.19,36.91,38.06,11.15,95,1
29-Jul-2016 - 00:00,30-Jul-2016 - 00:00,90.2,59.89,2.04,50.73,40.35,39.19,8.75,98,1
30-Jul-2016 - 00:00,31-Jul-2016 - 00:00,73.81,48.1,1.91,40.24,37.29,29.24,9.2,95,1
31-Jul-2016 - 00:00,01-Aug-2016 - 00:00,79.99,45.94,1.42,47.9,32.15,42.66,13.0,79,1
01-Aug-2016 - 00:00,02-Aug-2016 - 00:00,73.58,43.74,1.67,43.88,28.47,22.89,14.48,82,1
02-Aug-2016 - 00:00,03-Aug-2016 - 00:00,73.19,48.73,1.68,42.29,34.32,24.385,11.96,82,1
03-Aug-2016 - 00:00,04-Aug-2016 - 00:00,117.22,43.17,1.93,38.88,36.05,24.385,9.82,111,2
04-Aug-2016 - 00:00,05-Aug-2016 - 00:00,129.53,43.29,0.46,46.66,34.25,24.385,9.15,119,2
05-Aug-2016 - 00:00,06-Aug-2016 - 00:00,129.86,40.81,1.61,39.28,36.53,24.385,10.59,119,2
06-Aug-2016 - 00:00,07-Aug-2016 - 00:00,117.02,44.64,1.81,42.02,40.17,24.385,9.42,111,2
07-Aug-2016 - 00:00,08-Aug-2016 - 00:00,118.13,40.7,1.38,32.84,34.13,24.385,14.41,112,2
08-Aug-2016 - 00:00,09-Aug-2016 - 00:00,153.3,46.54,1.68,33.07,35.13,24.385,11.09,135,2
09-Aug-2016 - 00:00,10-Aug-2016 - 00:00,99.63,39.43,1.64,32.32,36.81,24.385,8.12,99,1
10-Aug-2016 - 00:00,11-Aug-2016 - 00:00,64.46,35.27,1.41,32.77,28.82,24.385,9.95,67,1
11-Aug-2016 - 00:00,12-Aug-2016 - 00:00,30.67,22.39,2.24,24.11,25.79,24.385,7.5,102,2
12-Aug-2016 - 00:00,13-Aug-2016 - 00:00,105.98,50.79,2.25,26.52,39.57,24.385,9.05,103,2
13-Aug-2016 - 00:00,14-Aug-2016 - 00:00,175.92,95.01,0.98,40.09,55.01,24.385,9.16,214,3
14-Aug-2016 - 00:00,15-Aug-2016 - 00:00,139.16,53.88,1.11,43.98,45.57,24.385,16.99,126,2
15-Aug-2016 - 00:00,16-Aug-2016 - 00:00,446.0,0.0,1.0,39.75,43.6,24.385,5.67,500,4
16-Aug-2016 - 00:00,17-Aug-2016 - 00:00,605.5,46.61,2.18,37.23,44.76,24.385,12.95,500,4
17-Aug-2016 - 00:00,18-Aug-2016 - 00:00,525.43,73.05,1.66,32.29,47.34,24.385,6.78,500,4
18-Aug-2016 - 00:00,19-Aug-2016 - 00:00,263.22,54.33,2.04,44.35,48.97,51.05,8.1,213,3
19-Aug-2016 - 00:00,20-Aug-2016 - 00:00,294.18,64.55,1.64,39.56,47.98,23.01,7.72,244,3
20-Aug-2016 - 00:00,21-Aug-2016 - 00:00,142.24,35.65,1.61,29.86,37.19,23.72,9.04,128,2
21-Aug-2016 - 00:00,22-Aug-2016 - 00:00,117.28,20.8,1.47,24.42,30.45,24.81,8.68,111,2
22-Aug-2016 - 00:00,23-Aug-2016 - 00:00,156.44,25.3,1.59,27.18,33.81,24.73,7.56,137,2
23-Aug-2016 - 00:00,24-Aug-2016 - 00:00,154.86,37.4,1.67,30.33,37.32,25.2,7.72,136,2
24-Aug-2016 - 00:00,25-Aug-2016 - 00:00,177.06,27.49,1.05,33.29,37.82,26.98,6.8,151,2
25-Aug-2016 - 00:00,26-Aug-2016 - 00:00,214.84,56.9,2.92,41.95,69.04,30.69,7.95,176,2
26-Aug-2016 - 00:00,27-Aug-2016 - 00:00,151.86,57.78,0.84,68.53,58.38,26.71,4.76,134,2
27-Aug-2016 - 00:00,28-Aug-2016 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
28-Aug-2016 - 00:00,29-Aug-2016 - 00:00,267.27,47.43,0.43,34.43,44.16,17.19,607.9,254,3
29-Aug-2016 - 00:00,30-Aug-2016 - 00:00,289.93,64.0,1.95,36.52,46.81,18.72,14.77,239,3
30-Aug-2016 - 00:00,31-Aug-2016 - 00:00,105.47,55.77,2.28,49.58,75.59,17.35,50.14,103,2
31-Aug-2016 - 00:00,01-Sep-2016 - 00:00,58.47,29.89,2.62,37.91,46.35,14.09,8.65,107,2
01-Sep-2016 - 00:00,02-Sep-2016 - 00:00,72.36,40.62,2.31,27.58,58.7,18.71,18.99,103,2
02-Sep-2016 - 00:00,03-Sep-2016 - 00:00,216.27,54.84,1.82,39.6,50.71,19.46,7.81,177,2
03-Sep-2016 - 00:00,04-Sep-2016 - 00:00,491.52,58.74,1.81,30.16,54.79,33.58,8.28,500,4
04-Sep-2016 - 00:00,05-Sep-2016 - 00:00,626.65,81.54,2.23,27.23,48.27,36.34,9.26,500,4
05-Sep-2016 - 00:00,06-Sep-2016 - 00:00,547.23,57.52,2.08,23.45,47.36,32.09,9.81,500,4
06-Sep-2016 - 00:00,07-Sep-2016 - 00:00,553.49,61.31,1.88,21.6,41.8,33.88,9.46,500,4
07-Sep-2016 - 00:00,08-Sep-2016 - 00:00,523.38,67.49,1.84,20.39,49.3,32.68,8.78,500,4
08-Sep-2016 - 00:00,09-Sep-2016 - 00:00,523.39,65.64,1.26,24.5,53.56,31.76,7.7,500,4
09-Sep-2016 - 00:00,10-Sep-2016 - 00:00,520.76,80.69,0.76,27.42,53.41,33.71,9.84,500,4
10-Sep-2016 - 00:00,11-Sep-2016 - 00:00,435.18,56.26,1.1,24.86,52.2,32.81,8.55,500,4
11-Sep-2016 - 00:00,12-Sep-2016 - 00:00,353.2,61.08,0.75,24.62,53.21,31.83,8.72,303,4
12-Sep-2016 - 00:00,13-Sep-2016 - 00:00,355.72,54.19,1.46,28.59,47.1,35.32,6.9,306,4
13-Sep-2016 - 00:00,14-Sep-2016 - 00:00,364.33,70.48,1.77,37.19,50.63,40.12,7.82,317,4
14-Sep-2016 - 00:00,15-Sep-2016 - 00:00,210.81,50.06,1.51,26.73,49.73,37.54,8.1,173,2
15-Sep-2016 - 00:00,16-Sep-2016 - 00:00,370.93,90.91,1.74,32.19,59.79,40.1,7.27,324,4
16-Sep-2016 - 00:00,17-Sep-2016 - 00:00,380.2,88.1,0.53,35.2,65.08,35.17,9.64,337,4
17-Sep-2016 - 00:00,18-Sep-2016 - 00:00,413.62,101.88,1.39,38.35,69.69,32.07,10.66,378,4
18-Sep-2016 - 00:00,19-Sep-2016 - 00:00,292.51,95.12,2.84,39.09,61.65,30.06,6.82,242,3
19-Sep-2016 - 00:00,20-Sep-2016 - 00:00,154.05,49.24,1.05,24.42,37.36,36.0,4.96,136,2
20-Sep-2016 - 00:00,21-Sep-2016 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
21-Sep-2016 - 00:00,22-Sep-2016 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22-Sep-2016 - 00:00,23-Sep-2016 - 00:00,64.12,17.25,0.98,18.38,31.69,11.55,4.29,64,1
23-Sep-2016 - 00:00,24-Sep-2016 - 00:00,226.37,69.69,2.04,36.79,63.23,32.33,20.73,184,2
24-Sep-2016 - 00:00,25-Sep-2016 - 00:00,169.94,55.99,1.49,34.63,53.16,20.27,12.41,146,2
25-Sep-2016 - 00:00,26-Sep-2016 - 00:00,240.01,61.17,1.72,33.03,57.06,27.56,11.82,193,2
26-Sep-2016 - 00:00,27-Sep-2016 - 00:00,325.61,107.42,1.48,42.25,65.12,28.84,9.48,275,3
27-Sep-2016 - 00:00,28-Sep-2016 - 00:00,190.52,64.54,1.52,39.67,51.2,20.53,11.32,160,2
28-Sep-2016 - 00:00,29-Sep-2016 - 00:00,431.46,112.76,1.73,57.95,90.92,41.99,9.25,500,4
29-Sep-2016 - 00:00,30-Sep-2016 - 00:00,266.94,108.11,1.68,52.49,59.56,23.17,7.81,259,3
30-Sep-2016 - 00:00,01-Oct-2016 - 00:00,348.74,109.29,1.87,43.95,71.82,26.14,11.38,298,3
01-Oct-2016 - 00:00,02-Oct-2016 - 00:00,348.24,123.49,2.19,61.25,72.29,34.39,32.38,302,4
02-Oct-2016 - 00:00,03-Oct-2016 - 00:00,349.85,89.8,2.06,42.43,59.71,22.68,11.46,299,3
03-Oct-2016 - 00:00,04-Oct-2016 - 00:00,343.22,118.66,1.29,52.35,65.09,37.62,7.26,293,3
04-Oct-2016 - 00:00,05-Oct-2016 - 00:00,404.55,193.32,2.45,59.98,76.7,46.01,8.73,367,4
05-Oct-2016 - 00:00,06-Oct-2016 - 00:00,255.41,113.79,2.67,62.13,82.62,50.9,12.95,276,3
06-Oct-2016 - 00:00,07-Oct-2016 - 00:00,374.49,154.74,2.41,74.25,85.17,52.81,9.88,329,4
07-Oct-2016 - 00:00,08-Oct-2016 - 00:00,518.01,132.29,2.28,58.51,76.28,26.57,11.15,500,4
08-Oct-2016 - 00:00,09-Oct-2016 - 00:00,611.0,186.89,3.22,52.49,79.93,29.78,10.69,500,4
09-Oct-2016 - 00:00,10-Oct-2016 - 00:00,581.51,189.26,2.15,53.29,90.28,65.67,13.66,500,4
10-Oct-2016 - 00:00,11-Oct-2016 - 00:00,575.38,172.77,2.63,56.15,95.96,27.97,19.77,500,4
11-Oct-2016 - 00:00,12-Oct-2016 - 00:00,602.4,187.45,4.09,44.02,98.17,33.59,16.67,500,4
12-Oct-2016 - 00:00,13-Oct-2016 - 00:00,571.81,133.47,3.64,40.02,105.13,33.61,23.08,500,4
13-Oct-2016 - 00:00,14-Oct-2016 - 00:00,591.26,106.63,2.9,38.63,96.24,29.15,19.88,500,4
14-Oct-2016 - 00:00,15-Oct-2016 - 00:00,603.79,119.65,2.09,38.13,106.46,33.34,22.74,500,4
15-Oct-2016 - 00:00,16-Oct-2016 - 00:00,642.92,165.22,1.62,42.11,132.69,49.8,25.39,500,4
16-Oct-2016 - 00:00,17-Oct-2016 - 00:00,607.79,174.77,1.44,42.59,108.73,43.75,27.33,500,4
17-Oct-2016 - 00:00,18-Oct-2016 - 00:00,625.42,180.65,2.94,45.8,104.75,48.2,24.97,500,4
18-Oct-2016 - 00:00,19-Oct-2016 - 00:00,629.18,206.98,2.91,50.05,105.37,59.29,23.51,500,4
19-Oct-2016 - 00:00,20-Oct-2016 - 00:00,610.96,166.44,2.51,53.0,111.37,29.74,21.28,500,4
20-Oct-2016 - 00:00,21-Oct-2016 - 00:00,675.67,167.49,3.92,64.58,108.86,21.15,25.66,500,4
21-Oct-2016 - 00:00,22-Oct-2016 - 00:00,665.39,205.27,4.54,65.01,108.97,22.48,25.74,500,4
22-Oct-2016 - 00:00,23-Oct-2016 - 00:00,639.06,165.44,2.8,64.58,100.45,20.29,15.43,500,4
23-Oct-2016 - 00:00,24-Oct-2016 - 00:00,686.99,230.38,2.05,53.21,113.45,26.32,18.03,500,4
24-Oct-2016 - 00:00,25-Oct-2016 - 00:00,654.97,209.15,2.48,44.95,108.45,25.61,20.55,500,4
25-Oct-2016 - 00:00,26-Oct-2016 - 00:00,521.73,147.59,2.09,49.89,106.15,17.4,21.16,500,4
26-Oct-2016 - 00:00,27-Oct-2016 - 00:00,653.01,257.92,3.14,62.61,127.82,21.34,19.37,500,4
27-Oct-2016 - 00:00,28-Oct-2016 - 00:00,787.57,333.98,2.76,64.3,139.48,35.13,28.23,500,4
28-Oct-2016 - 00:00,29-Oct-2016 - 00:00,660.76,392.89,2.74,64.09,157.58,38.01,32.52,500,4
29-Oct-2016 - 00:00,30-Oct-2016 - 00:00,714.7,402.73,3.69,78.46,153.75,80.66,80.95,500,4
30-Oct-2016 - 00:00,31-Oct-2016 - 00:00,1849.6,357.39,3.67,95.36,108.8,78.84,47.05,500,4
31-Oct-2016 - 00:00,01-Nov-2016 - 00:00,855.71,445.62,4.13,116.09,112.41,64.35,86.75,500,4
01-Nov-2016 - 00:00,02-Nov-2016 - 00:00,991.94,445.27,3.62,124.89,138.49,27.83,31.06,500,4
02-Nov-2016 - 00:00,03-Nov-2016 - 00:00,1210.4,446.33,4.45,148.35,167.04,21.44,27.62,500,4
03-Nov-2016 - 00:00,04-Nov-2016 - 00:00,1061.8,432.93,4.14,147.93,155.22,27.92,35.03,500,4
04-Nov-2016 - 00:00,05-Nov-2016 - 00:00,1181.95,449.53,4.49,150.22,169.21,39.17,30.35,500,4
05-Nov-2016 - 00:00,06-Nov-2016 - 00:00,1405.9,391.67,5.73,142.18,163.26,41.41,23.34,500,4
06-Nov-2016 - 00:00,07-Nov-2016 - 00:00,1650.33,583.28,6.22,149.98,186.77,28.7,18.48,500,4
07-Nov-2016 - 00:00,08-Nov-2016 - 00:00,1128.52,550.79,3.4,112.79,150.25,22.42,20.01,500,4
08-Nov-2016 - 00:00,09-Nov-2016 - 00:00,743.88,423.48,3.85,84.09,142.23,23.83,24.46,500,4
09-Nov-2016 - 00:00,10-Nov-2016 - 00:00,857.4,440.98,3.86,80.58,168.5,28.15,23.86,500,4
10-Nov-2016 - 00:00,11-Nov-2016 - 00:00,625.86,403.92,4.22,96.73,192.02,40.19,30.27,500,4
11-Nov-2016 - 00:00,12-Nov-2016 - 00:00,631.42,399.51,4.34,113.67,158.88,41.86,42.7,500,4
12-Nov-2016 - 00:00,13-Nov-2016 - 00:00,597.09,326.2,4.47,110.61,138.33,39.37,37.66,500,4
13-Nov-2016 - 00:00,14-Nov-2016 - 00:00,612.03,274.66,4.55,103.44,127.26,76.94,70.01,500,4
14-Nov-2016 - 00:00,15-Nov-2016 - 00:00,567.1,207.58,3.11,79.92,117.21,50.6,31.42,500,4
15-Nov-2016 - 00:00,16-Nov-2016 - 00:00,1019.73,312.04,5.01,87.23,131.81,32.15,29.85,500,4
16-Nov-2016 - 00:00,17-Nov-2016 - 00:00,974.92,338.38,3.74,81.1,129.66,30.64,29.67,500,4
17-Nov-2016 - 00:00,18-Nov-2016 - 00:00,656.51,237.53,1.88,61.91,110.7,37.53,26.63,500,4
18-Nov-2016 - 00:00,19-Nov-2016 - 00:00,885.95,279.31,2.8,65.51,129.73,31.65,26.31,500,4
19-Nov-2016 - 00:00,20-Nov-2016 - 00:00,1025.75,287.02,3.73,85.84,149.66,53.37,39.1,500,4
20-Nov-2016 - 00:00,21-Nov-2016 - 00:00,1347.57,375.55,5.27,134.18,133.28,50.8,31.9,500,4
21-Nov-2016 - 00:00,22-Nov-2016 - 00:00,1146.24,343.28,4.88,134.64,165.06,49.66,33.95,500,4
22-Nov-2016 - 00:00,23-Nov-2016 - 00:00,972.15,224.21,5.15,110.75,141.28,20.91,25.84,500,4
23-Nov-2016 - 00:00,24-Nov-2016 - 00:00,819.16,240.77,3.61,85.31,142.96,24.06,45.14,500,4
24-Nov-2016 - 00:00,25-Nov-2016 - 00:00,1015.87,294.17,2.97,93.35,135.46,22.24,21.9,500,4
25-Nov-2016 - 00:00,26-Nov-2016 - 00:00,665.0,137.2,1.06,46.31,76.36,40.44,20.47,500,4
26-Nov-2016 - 00:00,27-Nov-2016 - 00:00,572.97,124.87,1.75,39.3,81.06,38.08,24.4,500,4
27-Nov-2016 - 00:00,28-Nov-2016 - 00:00,667.16,157.3,2.33,44.57,89.78,32.22,25.84,500,4
28-Nov-2016 - 00:00,29-Nov-2016 - 00:00,625.25,196.04,3.0,39.18,107.18,28.26,29.94,500,4
29-Nov-2016 - 00:00,30-Nov-2016 - 00:00,987.41,375.46,5.35,89.62,137.66,28.4,30.95,500,4
30-Nov-2016 - 00:00,01-Dec-2016 - 00:00,598.07,316.83,3.76,134.65,83.73,14.87,14.74,500,4
01-Dec-2016 - 00:00,02-Dec-2016 - 00:00,621.42,371.74,3.48,134.08,101.52,31.03,16.29,500,4
02-Dec-2016 - 00:00,03-Dec-2016 - 00:00,772.45,344.26,3.32,125.44,122.7,16.25,19.99,500,4
03-Dec-2016 - 00:00,04-Dec-2016 - 00:00,954.52,274.56,4.64,92.82,135.41,18.41,22.41,500,4
04-Dec-2016 - 00:00,05-Dec-2016 - 00:00,1205.69,346.32,6.44,124.37,135.45,16.51,21.74,500,4
05-Dec-2016 - 00:00,06-Dec-2016 - 00:00,997.12,311.17,5.17,4.26,5.82,15.12,24.29,500,4
06-Dec-2016 - 00:00,07-Dec-2016 - 00:00,788.48,440.14,5.49,88.22,48.17,23.09,20.87,500,4
07-Dec-2016 - 00:00,08-Dec-2016 - 00:00,580.37,330.49,3.3,85.79,78.7,61.44,31.58,500,4
08-Dec-2016 - 00:00,09-Dec-2016 - 00:00,546.44,309.46,4.39,85.82,98.73,12.79,27.09,500,4
09-Dec-2016 - 00:00,10-Dec-2016 - 00:00,700.62,409.22,5.35,37.87,33.81,14.7,25.35,500,4
10-Dec-2016 - 00:00,11-Dec-2016 - 00:00,303.6,223.1,3.4,5.28,6.09,11.3,22.55,379,4
11-Dec-2016 - 00:00,12-Dec-2016 - 00:00,662.56,276.18,4.51,0.13,0.21,13.01,25.13,500,4
12-Dec-2016 - 00:00,13-Dec-2016 - 00:00,827.79,302.75,5.14,63.85,81.38,13.88,26.24,500,4
13-Dec-2016 - 00:00,14-Dec-2016 - 00:00,653.47,236.66,3.62,1.11,0.31,16.55,24.34,500,4
14-Dec-2016 - 00:00,15-Dec-2016 - 00:00,470.2,184.38,3.25,51.99,82.32,17.28,23.09,500,4
15-Dec-2016 - 00:00,16-Dec-2016 - 00:00,624.97,197.22,3.85,51.99,82.32,17.3,24.28,500,4
16-Dec-2016 - 00:00,17-Dec-2016 - 00:00,706.13,274.45,4.96,10.5,82.32,15.9,19.01,500,4
17-Dec-2016 - 00:00,18-Dec-2016 - 00:00,695.85,274.62,3.86,111.72,132.42,10.99,22.4,500,4
18-Dec-2016 - 00:00,19-Dec-2016 - 00:00,648.99,263.85,3.92,105.63,128.24,10.45,24.06,500,4
19-Dec-2016 - 00:00,20-Dec-2016 - 00:00,656.42,277.7,3.22,110.97,130.86,10.09,20.46,500,4
20-Dec-2016 - 00:00,21-Dec-2016 - 00:00,400.08,174.73,2.01,86.9,106.06,8.83,21.99,362,4
21-Dec-2016 - 00:00,22-Dec-2016 - 00:00,513.79,124.32,3.06,75.4,109.48,9.09,24.9,500,4
22-Dec-2016 - 00:00,23-Dec-2016 - 00:00,726.27,124.32,3.69,91.76,126.06,12.92,26.78,500,4
23-Dec-2016 - 00:00,24-Dec-2016 - 00:00,1006.79,124.32,5.97,136.77,150.56,13.43,26.21,500,4
24-Dec-2016 - 00:00,25-Dec-2016 - 00:00,809.6,124.32,5.05,129.9,116.41,15.72,19.39,500,4
25-Dec-2016 - 00:00,26-Dec-2016 - 00:00,399.76,124.32,2.23,101.53,86.98,10.84,22.48,361,4
26-Dec-2016 - 00:00,27-Dec-2016 - 00:00,399.2,124.32,2.35,83.75,94.44,10.57,22.68,361,4
27-Dec-2016 - 00:00,28-Dec-2016 - 00:00,577.37,124.32,3.23,72.28,104.41,10.23,23.37,500,4
28-Dec-2016 - 00:00,29-Dec-2016 - 00:00,704.72,124.32,5.3,99.49,156.35,29.86,26.05,500,4
29-Dec-2016 - 00:00,30-Dec-2016 - 00:00,569.04,124.32,3.49,135.12,89.3,29.8,18.98,500,4
30-Dec-2016 - 00:00,31-Dec-2016 - 00:00,348.56,124.32,2.61,95.18,77.29,9.92,21.67,303,4
31-Dec-2016 - 00:00,01-Jan-2017 - 00:00,337.08,124.32,2.93,89.7,83.3,10.6,21.68,303,4
01-Jan-2017 - 00:00,02-Jan-2017 - 00:00,360.66,124.32,3.36,93.35,78.61,24.92,23.6,312,4
02-Jan-2017 - 00:00,03-Jan-2017 - 00:00,523.33,124.32,3.68,101.0,87.5,22.59,21.93,500,4
03-Jan-2017 - 00:00,04-Jan-2017 - 00:00,559.61,124.32,4.42,105.47,112.12,11.79,23.64,500,4
04-Jan-2017 - 00:00,05-Jan-2017 - 00:00,464.88,124.32,5.62,116.01,99.09,13.25,23.45,500,4
05-Jan-2017 - 00:00,06-Jan-2017 - 00:00,511.15,124.32,3.66,115.62,115.91,13.47,23.65,500,4
06-Jan-2017 - 00:00,07-Jan-2017 - 00:00,321.76,124.32,2.48,109.57,67.89,16.13,19.45,303,4
07-Jan-2017 - 00:00,08-Jan-2017 - 00:00,182.75,124.32,2.07,64.27,39.52,12.31,21.08,303,4
08-Jan-2017 - 00:00,09-Jan-2017 - 00:00,313.59,124.32,1.97,50.28,60.1,17.49,41.28,303,4
09-Jan-2017 - 00:00,10-Jan-2017 - 00:00,412.99,124.32,2.17,53.57,73.15,18.04,29.29,377,4
10-Jan-2017 - 00:00,11-Jan-2017 - 00:00,435.11,124.32,2.27,43.11,80.2,26.95,25.48,500,4
11-Jan-2017 - 00:00,12-Jan-2017 - 00:00,506.24,124.32,2.35,44.74,89.01,25.59,26.92,500,4
12-Jan-2017 - 00:00,13-Jan-2017 - 00:00,676.1,124.32,3.48,62.45,104.45,20.69,83.05,500,4
13-Jan-2017 - 00:00,14-Jan-2017 - 00:00,611.57,124.32,2.87,61.87,104.19,21.87,29.44,500,4
14-Jan-2017 - 00:00,15-Jan-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
15-Jan-2017 - 00:00,16-Jan-2017 - 00:00,536.9,124.32,2.34,51.99,82.32,38.72,38.55,500,4
16-Jan-2017 - 00:00,17-Jan-2017 - 00:00,404.81,124.32,3.2,76.53,78.44,20.16,28.68,367,4
17-Jan-2017 - 00:00,18-Jan-2017 - 00:00,315.97,124.32,2.09,57.12,63.02,19.34,21.18,303,4
18-Jan-2017 - 00:00,19-Jan-2017 - 00:00,386.75,124.32,2.24,51.99,82.32,18.66,27.73,344,4
19-Jan-2017 - 00:00,20-Jan-2017 - 00:00,331.62,124.32,2.02,51.99,82.32,21.38,27.5,303,4
20-Jan-2017 - 00:00,21-Jan-2017 - 00:00,283.52,124.32,1.84,48.24,97.13,26.73,24.27,303,4
21-Jan-2017 - 00:00,22-Jan-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
22-Jan-2017 - 00:00,23-Jan-2017 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-Jan-2017 - 00:00,24-Jan-2017 - 00:00,478.93,124.32,2.17,67.36,99.63,19.78,25.07,500,4
24-Jan-2017 - 00:00,25-Jan-2017 - 00:00,674.85,124.32,4.42,82.13,122.33,18.86,32.77,500,4
25-Jan-2017 - 00:00,26-Jan-2017 - 00:00,498.1,124.32,2.08,106.44,86.71,22.88,28.54,500,4
26-Jan-2017 - 00:00,27-Jan-2017 - 00:00,186.99,124.32,0.61,83.24,59.29,12.75,28.13,303,4
27-Jan-2017 - 00:00,28-Jan-2017 - 00:00,87.32,124.32,1.91,56.48,57.25,11.92,21.67,303,4
28-Jan-2017 - 00:00,29-Jan-2017 - 00:00,161.09,124.32,1.44,46.54,62.38,13.92,20.87,303,4
29-Jan-2017 - 00:00,30-Jan-2017 - 00:00,195.08,124.32,1.6,43.94,70.81,16.85,20.82,303,4
30-Jan-2017 - 00:00,31-Jan-2017 - 00:00,364.48,124.32,2.57,55.88,92.27,16.59,23.22,317,4
31-Jan-2017 - 00:00,01-Feb-2017 - 00:00,414.64,124.32,2.2,75.18,82.46,16.41,33.87,379,4
01-Feb-2017 - 00:00,02-Feb-2017 - 00:00,381.78,124.32,2.56,75.11,86.86,15.8,23.62,338,4
02-Feb-2017 - 00:00,03-Feb-2017 - 00:00,688.26,124.32,3.64,91.35,107.76,18.84,22.11,500,4
03-Feb-2017 - 00:00,04-Feb-2017 - 00:00,748.91,124.32,3.95,102.77,108.19,21.43,28.01,500,4
04-Feb-2017 - 00:00,05-Feb-2017 - 00:00,448.56,124.32,2.81,108.06,75.74,13.46,21.38,500,4
05-Feb-2017 - 00:00,06-Feb-2017 - 00:00,333.51,124.32,2.96,78.2,62.32,13.83,23.29,303,4
06-Feb-2017 - 00:00,07-Feb-2017 - 00:00,518.71,124.32,3.03,77.16,68.22,13.71,21.75,500,4
07-Feb-2017 - 00:00,08-Feb-2017 - 00:00,354.16,124.32,2.48,49.41,68.26,16.69,21.53,304,4
08-Feb-2017 - 00:00,09-Feb-2017 - 00:00,563.12,124.32,2.72,50.41,88.88,15.6,21.63,500,4
09-Feb-2017 - 00:00,10-Feb-2017 - 00:00,477.91,124.32,2.58,56.45,71.9,15.13,23.68,500,4
10-Feb-2017 - 00:00,11-Feb-2017 - 00:00,384.34,124.32,2.3,51.99,75.9,15.27,22.65,342,4
11-Feb-2017 - 00:00,12-Feb-2017 - 00:00,475.52,124.32,2.39,49.46,90.54,15.78,25.12,500,4
12-Feb-2017 - 00:00,13-Feb-2017 - 00:00,323.24,124.32,2.23,54.67,106.33,15.1,43.74,303,4
13-Feb-2017 - 00:00,14-Feb-2017 - 00:00,434.32,124.32,2.54,56.57,110.84,11.93,29.98,500,4
14-Feb-2017 - 00:00,15-Feb-2017 - 00:00,499.62,124.32,3.12,66.96,125.29,11.38,31.42,500,4
15-Feb-2017 - 00:00,16-Feb-2017 - 00:00,574.16,124.32,2.69,77.85,129.73,10.31,23.92,500,4
16-Feb-2017 - 00:00,17-Feb-2017 - 00:00,394.28,124.32,2.54,76.34,120.05,9.47,26.63,354,4
17-Feb-2017 - 00:00,18-Feb-2017 - 00:00,414.65,124.32,2.77,84.23,115.38,9.58,23.49,379,4
18-Feb-2017 - 00:00,19-Feb-2017 - 00:00,432.2,124.32,2.12,92.89,114.87,10.03,23.44,500,4
19-Feb-2017 - 00:00,20-Feb-2017 - 00:00,565.45,124.32,3.28,99.25,109.35,10.78,25.92,500,4
