From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
11-Aug-2015 - 00:00,12-Aug-2015 - 00:00,283.56,125.39,1.79,50.02,41.48,50.18,9.45,304,4
12-Aug-2015 - 00:00,13-Aug-2015 - 00:00,138.48,51.61,1.57,55.08,50.39,24.32,11.92,125,2
13-Aug-2015 - 00:00,14-Aug-2015 - 00:00,261.88,64.54,1.7,42.57,55.93,28.08,26.01,211,3
14-Aug-2015 - 00:00,15-Aug-2015 - 00:00,309.87,76.14,1.04,40.28,42.11,28.82,21.3,259,3
15-Aug-2015 - 00:00,16-Aug-2015 - 00:00,190.18,60.25,1.34,36.44,38.32,13.81,23.52,160,2
16-Aug-2015 - 00:00,17-Aug-2015 - 00:00,174.75,81.04,1.47,38.52,61.72,19.38,23.65,169,2
17-Aug-2015 - 00:00,18-Aug-2015 - 00:00,299.73,91.03,1.5,27.22,50.8,18.03,23.66,249,3
18-Aug-2015 - 00:00,19-Aug-2015 - 00:00,298.8,87.9,1.17,32.68,51.87,9.46,23.29,248,3
19-Aug-2015 - 00:00,20-Aug-2015 - 00:00,537.62,52.11,1.24,25.13,48.17,10.44,23.39,500,4
20-Aug-2015 - 00:00,21-Aug-2015 - 00:00,743.05,84.92,1.1,19.83,46.76,10.99,24.02,500,4
21-Aug-2015 - 00:00,22-Aug-2015 - 00:00,443.76,81.36,1.65,22.37,36.56,11.42,24.22,500,4
22-Aug-2015 - 00:00,23-Aug-2015 - 00:00,193.7,52.3,1.08,49.66,59.65,9.22,17.0,162,2
23-Aug-2015 - 00:00,24-Aug-2015 - 00:00,271.53,58.16,1.1,27.86,54.58,11.75,24.74,221,3
24-Aug-2015 - 00:00,25-Aug-2015 - 00:00,215.04,46.91,1.26,21.75,53.55,11.22,25.27,176,2
25-Aug-2015 - 00:00,26-Aug-2015 - 00:00,629.1,79.38,1.13,23.72,46.23,11.72,20.56,500,4
26-Aug-2015 - 00:00,27-Aug-2015 - 00:00,604.0,96.83,1.06,19.39,43.11,15.56,19.23,500,4
27-Aug-2015 - 00:00,28-Aug-2015 - 00:00,670.45,97.92,1.16,32.4,61.66,25.87,21.89,500,4
28-Aug-2015 - 00:00,29-Aug-2015 - 00:00,392.86,88.81,1.22,42.51,54.93,21.05,24.88,352,4
29-Aug-2015 - 00:00,30-Aug-2015 - 00:00,574.06,95.03,1.16,41.62,55.7,14.83,15.85,500,4
30-Aug-2015 - 00:00,31-Aug-2015 - 00:00,523.22,81.15,1.11,29.69,49.31,13.56,11.93,500,4
31-Aug-2015 - 00:00,01-Sep-2015 - 00:00,488.13,69.67,0.94,24.3,41.27,14.24,15.01,500,4
01-Sep-2015 - 00:00,02-Sep-2015 - 00:00,636.83,99.86,1.67,20.73,50.13,15.94,17.84,500,4
02-Sep-2015 - 00:00,03-Sep-2015 - 00:00,692.7,110.16,1.1,21.76,48.79,16.15,16.19,500,4
03-Sep-2015 - 00:00,04-Sep-2015 - 00:00,594.82,103.97,1.03,22.37,53.18,19.79,16.88,500,4
04-Sep-2015 - 00:00,05-Sep-2015 - 00:00,617.33,105.35,1.16,30.27,57.75,19.57,16.35,500,4
05-Sep-2015 - 00:00,06-Sep-2015 - 00:00,575.16,95.65,1.25,34.48,59.79,16.26,14.87,500,4
06-Sep-2015 - 00:00,07-Sep-2015 - 00:00,426.33,67.09,0.88,24.12,55.83,26.84,16.69,394,4
07-Sep-2015 - 00:00,08-Sep-2015 - 00:00,426.91,69.7,1.15,24.38,59.53,19.69,22.91,394,4
08-Sep-2015 - 00:00,09-Sep-2015 - 00:00,522.17,81.38,1.13,28.32,59.79,22.81,12.6,500,4
09-Sep-2015 - 00:00,10-Sep-2015 - 00:00,411.24,69.0,1.06,22.33,54.22,27.98,13.41,376,4
10-Sep-2015 - 00:00,11-Sep-2015 - 00:00,404.57,66.91,1.05,24.18,59.77,23.01,17.06,367,4
11-Sep-2015 - 00:00,12-Sep-2015 - 00:00,402.31,79.69,1.17,28.85,61.97,21.79,17.84,364,4
12-Sep-2015 - 00:00,13-Sep-2015 - 00:00,344.36,99.6,1.19,35.01,62.92,13.83,45.86,294,3
13-Sep-2015 - 00:00,14-Sep-2015 - 00:00,369.41,121.93,1.21,33.88,77.75,39.85,15.11,323,4
